품목(단위_원),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
주류,"4,032,795,810","3,466,016,300","3,759,594,420","4,295,758,390","4,388,021,790","4,369,864,120","3,693,789,430","4,319,318,130","3,681,322,230","4,198,977,860","4,566,831,050","4,615,308,550"
담배,"9,076,201,000","8,455,632,500","10,223,988,700","10,212,542,800","9,415,724,100","9,765,162,500","8,601,075,000","9,705,167,500","8,607,673,700","9,733,444,700","9,991,903,500","8,800,741,500"
시계,"1,060,031,310","1,044,590,040","1,005,230,820","1,127,354,310","1,211,594,720","1,235,783,100","1,308,868,430","1,332,983,220","1,009,301,280","1,058,932,280","977,209,390","944,945,310"
화장품,"11,776,766,800","11,700,671,520","11,440,778,780","12,711,476,580","13,221,841,100","12,489,885,160","11,541,992,530","13,136,034,060","10,394,248,770","12,985,004,500","12,793,369,980","11,909,821,580"
향수,"2,847,859,920","2,789,965,750","2,957,670,690","3,273,421,890","3,309,748,030","3,385,402,810","3,210,247,320","3,733,888,340","2,907,471,600","3,539,817,260","3,632,013,090","3,334,913,570"
백/밸트/지갑,"5,270,080,230","5,213,283,500","5,654,475,110","6,024,013,370","6,278,390,960","6,113,603,670","5,648,844,740","6,589,055,030","5,332,529,910","6,359,703,470","6,273,599,600","5,907,887,590"
선글라스,"1,280,169,450","1,346,841,090","1,976,298,620","2,176,321,540","2,338,019,590","2,212,033,390","1,785,898,940","1,780,438,060","1,217,529,450","1,502,583,620","1,334,970,240","947,943,330"
과자류,"831,073,810","845,839,450","837,951,610","814,275,440","982,742,770","1,021,639,650","934,716,780","1,075,334,510","838,133,180","927,026,360","876,892,280","807,171,020"
인삼류,"1,409,480,840","1,284,317,830","1,282,011,030","1,679,628,170","1,638,973,050","1,501,296,970","1,214,426,880","1,416,880,570","1,383,786,120","1,432,345,320","1,487,755,010","1,258,083,810"
넥타이,"23,803,320","23,980,570","23,184,280","24,948,460","24,895,240","19,929,320","12,602,240","25,295,420","25,555,420","24,754,380","23,747,930","38,966,220"
스카프,"144,010,920","76,213,730","103,592,940","102,693,780","68,616,940","44,063,780","26,346,360","61,619,250","97,974,080","183,425,440","314,984,890","394,907,070"
액세서리,"1,279,566,770","1,256,580,490","1,305,878,880","1,387,381,240","1,511,559,810","1,471,078,480","1,449,240,360","1,479,739,010","1,156,126,050","1,362,496,240","1,344,544,930","1,373,271,220"
문구류,"173,995,040","157,198,340","147,658,500","147,547,870","163,106,860","150,478,830","153,443,280","187,469,670","143,669,630","164,250,100","179,400,200","189,270,510"
완구류,"508,109,790","547,523,760","513,193,280","586,400,580","541,971,890","965,364,470","771,515,910","854,058,620","501,742,560","557,305,320","589,382,510","707,476,730"
라이터,"46,523,260","42,516,300","45,180,870","43,144,050","47,604,350","39,240,520","49,351,090","56,126,420","37,716,580","29,674,130","48,279,890","37,776,680"
디바이스,0,0,0,0,0,"48,203,240","60,719,290","74,024,730","54,748,370","51,036,320","45,913,720","82,911,490"
